,T1,T2,S2,T4,S4,T7,S7,T8,S8,T16,S16,T20,S20,T40,S40
20000,0.692381,0.342961,2.018833045156738,0.177489,3.9009797790285594,0.109038,6.349905537519031,0.095155,7.276349114602491,0.069854,9.911830389097261,0.062534,11.072072792400933,0.028815,24.028492104806524
40000,2.730236,1.371349,1.9909125977413482,0.700086,3.8998580174435715,0.460526,5.92851652241133,0.413712,6.5993638086398265,0.296976,9.193456710306556,0.237665,11.487749563461175,0.279472,9.769264899524819
