,T1,T2,S2,T4,S4,T7,S7,T8,S8,T16,S16,T20,S20,T40,S40
20000,1.079800,1.271825,1.1778338581218744,1.155521,1.0701250231524355,1.837732,1.7019188738655304,1.664138,1.5411539173921094,1.897478,1.7572494906464158,2.021916,1.8724912020744582,2.469948,2.287412483793295
40000,4.372986,5.097871,1.1657643084153482,4.990145,1.1411298824190153,5.318461,1.2162081012836539,7.022726,1.6059337944370276,5.750385,1.3149790555012066,5.631626,1.2878216394930146,9.990761,2.28465423854547
